Agency,Geographic Unit,Geographic Identifier,Indicator,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019
NYPD,Precinct,84,Major felony crime,1023,1009,1038,1118,1089,1042,1059,1157,1097
NYPD,Precinct,83,Major felony crime,1892,1921,1889,1948,1740,1622,1557,1540,1399
NYPD,Precinct,81,Major felony crime,1490,1552,1475,1586,1478,1365,1194,1173,1209
NYPD,Precinct,79,Major felony crime,1730,2013,1699,1732,1644,1510,1593,1585,1551
NYPD,Precinct,78,Major felony crime,843,1023,1046,978,977,941,966,855,824
NYPD,Precinct,77,Major felony crime,1518,1594,1608,1855,1578,1458,1279,1120,1073
NYPD,Precinct,76,Major felony crime,604,640,640,608,657,561,461,479,434
NYPD,Precinct,75,Major felony crime,3234,3586,3791,3919,3587,3503,3199,3185,3412
NYPD,Precinct,73,Major felony crime,2055,2195,2078,2042,1794,1720,1612,1635,1575
NYPD,Precinct,72,Major felony crime,1217,1161,1192,1147,1151,1262,1092,1099,1137
NYPD,Precinct,71,Major felony crime,1457,1444,1776,1533,1453,1417,1364,1246,1155
NYPD,Precinct,70,Major felony crime,2026,1586,1810,1831,1648,1631,1386,1207,1207
NYPD,Precinct,69,Major felony crime,1072,1132,1089,1266,1049,1072,888,809,723
NYPD,Precinct,68,Major felony crime,915,958,973,946,927,951,888,774,773
NYPD,Precinct,67,Major felony crime,2281,2481,2414,2342,2210,2210,2013,1880,1653
NYPD,Precinct,66,Major felony crime,1283,1275,1211,1136,1173,1083,1007,924,957
NYPD,Precinct,63,Major felony crime,1345,1355,1369,1276,1138,1086,1016,916,892
NYPD,Precinct,62,Major felony crime,1266,1217,1369,1398,1212,1213,1111,1074,1073
NYPD,Precinct,61,Major felony crime,1121,1520,1648,1681,1598,1361,1198,1230,1146
NYPD,Precinct,60,Major felony crime,1268,1403,1417,1466,1478,1175,959,912,917
NYPD,Precinct,52,Major felony crime,2194,2186,2119,2205,2200,2127,1872,1906,1852
NYPD,Precinct,50,Major felony crime,977,991,972,956,997,1000,975,922,937
NYPD,Precinct,49,Major felony crime,1669,1737,1355,1068,1135,1339,1269,1220,1163
NYPD,Precinct,48,Major felony crime,1446,1600,1715,1703,1786,1776,1507,1456,1317
NYPD,Precinct,47,Major felony crime,1996,2045,2103,2123,1988,2179,2459,2281,2036
NYPD,Precinct,46,Major felony crime,1544,1606,1621,1708,1622,2036,1849,1742,1662
NYPD,Precinct,45,Major felony crime,1357,1239,1168,1133,1170,1222,1082,1151,1165
NYPD,Precinct,44,Major felony crime,1979,2240,2163,2176,2313,2487,2312,2083,2034
NYPD,Precinct,43,Major felony crime,2349,2420,2431,2471,2459,2518,2134,1972,1895
NYPD,Precinct,42,Major felony crime,1207,1297,1233,1408,1271,1428,1411,1465,1416
NYPD,Precinct,41,Major felony crime,1283,1392,1593,1842,1422,1589,1352,1159,1074
NYPD,Precinct,40,Major felony crime,1652,1603,1778,1801,1737,2426,2461,2442,2282
NYPD,Precinct,34,Major felony crime,1296,1197,1179,1157,1211,1324,1411,1328,1329
NYPD,Precinct,33,Major felony crime,882,880,878,928,779,760,666,692,720
NYPD,Precinct,32,Major felony crime,1095,1085,975,1029,1015,1133,997,970,1036
NYPD,Precinct,30,Major felony crime,794,809,927,749,771,675,719,777,711
NYPD,Precinct,28,Major felony crime,868,970,925,870,844,1023,1005,1020,871
NYPD,Precinct,26,Major felony crime,644,644,672,705,576,618,568,642,652
NYPD,Precinct,25,Major felony crime,867,961,1063,1136,996,1127,1097,1114,1230
NYPD,Precinct,24,Major felony crime,942,1013,1035,1042,1006,1047,1129,1106,957
NYPD,Precinct,23,Major felony crime,877,987,1014,1035,1028,1043,899,917,876
NYPD,Precinct,22,Major felony crime,81,104,106,96,84,75,87,60,54
NYPD,Precinct,20,Major felony crime,876,940,1009,995,867,864,859,992,841
NYPD,Precinct,19,Major felony crime,1805,1993,2039,1939,1896,1982,1979,2048,2073
NYPD,Precinct,18,Major felony crime,2358,2288,2313,2326,2296,2519,2353,2487,2398
NYPD,Precinct,17,Major felony crime,939,989,1025,963,924,1034,1023,994,1055
NYPD,Precinct,14,Major felony crime,2968,2873,2883,2820,2723,2953,2650,2597,2575
NYPD,Precinct,13,Major felony crime,2115,1988,2095,2139,2035,2037,1740,1847,2001
NYPD,Precinct,10,Major felony crime,1040,1093,1105,1062,1057,1064,1006,1038,1012
NYPD,Precinct,9,Major felony crime,1381,1388,1380,1389,1326,1406,1440,1278,1217
NYPD,Precinct,7,Major felony crime,695,737,749,747,716,807,835,935,914
NYPD,Precinct,6,Major felony crime,1499,1560,1684,1628,1498,1514,1362,1504,1481
NYPD,Precinct,5,Major felony crime,980,997,971,951,960,976,928,945,967
NYPD,Precinct,1,Major felony crime,1405,1444,1442,1305,1257,1522,1281,1365,1362
NYPD,Precinct,123,Crime related to domestic violence - Felonious assault,24,28,30,25,26,26,NA,NA,NA
NYPD,Precinct,122,Crime related to domestic violence - Felonious assault,68,76,39,49,53,72,NA,NA,NA
NYPD,Precinct,121,Crime related to domestic violence - Felonious assault,NA,NA,NA,113,132,87,NA,172,NA
NYPD,Precinct,120,Crime related to domestic violence - Felonious assault,138,173,157,181,99,122,129,NA,NA
NYPD,Precinct,115,Crime related to domestic violence - Felonious assault,115,137,171,160,161,147,145,NA,NA
NYPD,Precinct,114,Crime related to domestic violence - Felonious assault,117,125,126,114,121,155,144,NA,NA
NYPD,Precinct,113,Crime related to domestic violence - Felonious assault,204,209,199,233,203,201,212,NA,NA
NYPD,Precinct,112,Crime related to domestic violence - Felonious assault,22,41,28,27,37,29,22,NA,NA
NYPD,Precinct,111,Crime related to domestic violence - Felonious assault,17,31,33,38,33,45,37,NA,NA
NYPD,Precinct,110,Crime related to domestic violence - Felonious assault,83,72,98,95,126,112,99,NA,NA
NYPD,Precinct,109,Crime related to domestic violence - Felonious assault,76,98,106,102,92,77,117,NA,NA
NYPD,Precinct,108,Crime related to domestic violence - Felonious assault,37,43,54,67,65,48,62,NA,NA
NYPD,Precinct,107,Crime related to domestic violence - Felonious assault,50,53,55,49,61,38,52,NA,NA
NYPD,Precinct,106,Crime related to domestic violence - Felonious assault,81,75,90,126,114,105,115,NA,NA
NYPD,Precinct,105,Crime related to domestic violence - Felonious assault,123,142,144,183,196,191,185,NA,NA
NYPD,Precinct,104,Crime related to domestic violence - Felonious assault,85,125,130,104,121,92,107,NA,NA
NYPD,Precinct,103,Crime related to domestic violence - Felonious assault,136,119,145,156,237,181,161,NA,NA
NYPD,Precinct,102,Crime related to domestic violence - Felonious assault,99,85,104,143,113,107,93,NA,NA
NYPD,Precinct,101,Crime related to domestic violence - Felonious assault,63,75,105,125,156,163,187,NA,NA
NYPD,Precinct,100,Crime related to domestic violence - Felonious assault,36,52,72,62,59,55,60,NA,NA
NYPD,Precinct,94,Crime related to domestic violence - Felonious assault,27,29,33,40,44,23,24,NA,NA
NYPD,Precinct,90,Crime related to domestic violence - Felonious assault,48,74,79,71,66,57,96,NA,NA
NYPD,Precinct,88,Crime related to domestic violence - Felonious assault,53,54,66,64,58,48,66,NA,NA
NYPD,Precinct,84,Crime related to domestic violence - Felonious assault,24,19,32,36,31,30,24,NA,NA
NYPD,Precinct,83,Crime related to domestic violence - Felonious assault,116,140,133,143,97,106,NA,NA,NA
NYPD,Precinct,81,Crime related to domestic violence - Felonious assault,107,130,129,128,131,115,NA,NA,NA
NYPD,Precinct,79,Crime related to domestic violence - Felonious assault,146,186,161,200,132,137,122,NA,NA
NYPD,Precinct,78,Crime related to domestic violence - Felonious assault,21,16,23,26,29,31,29,NA,NA
NYPD,Precinct,77,Crime related to domestic violence - Felonious assault,100,135,146,178,163,145,126,NA,NA
NYPD,Precinct,76,Crime related to domestic violence - Felonious assault,23,24,42,34,38,39,47,NA,NA
NYPD,Precinct,75,Crime related to domestic violence - Felonious assault,314,384,369,398,363,414,399,NA,NA
NYPD,Precinct,73,Crime related to domestic violence - Felonious assault,220,235,199,264,243,253,277,NA,NA
NYPD,Precinct,72,Crime related to domestic violence - Felonious assault,64,78,85,87,87,81,85,NA,NA
NYPD,Precinct,71,Crime related to domestic violence - Felonious assault,92,98,131,155,130,124,119,NA,NA
NYPD,Precinct,70,Crime related to domestic violence - Felonious assault,124,108,103,138,133,104,116,NA,NA
NYPD,Precinct,69,Crime related to domestic violence - Felonious assault,87,90,98,121,120,140,103,NA,NA
NYPD,Precinct,68,Crime related to domestic violence - Felonious assault,38,36,38,52,53,55,51,NA,NA
NYPD,Precinct,67,Crime related to domestic violence - Felonious assault,218,246,245,269,221,270,262,NA,NA
NYPD,Precinct,66,Crime related to domestic violence - Felonious assault,55,67,44,48,44,71,50,NA,NA
NYPD,Precinct,63,Crime related to domestic violence - Felonious assault,75,118,113,94,71,59,76,NA,NA
NYPD,Precinct,62,Crime related to domestic violence - Felonious assault,61,73,82,91,107,87,96,NA,NA
NYPD,Precinct,61,Crime related to domestic violence - Felonious assault,38,47,68,97,77,69,101,NA,NA
NYPD,Precinct,60,Crime related to domestic violence - Felonious assault,68,88,93,144,126,105,106,NA,NA
NYPD,Precinct,52,Crime related to domestic violence - Felonious assault,144,153,163,217,198,244,215,NA,NA
NYPD,Precinct,50,Crime related to domestic violence - Felonious assault,37,48,54,76,54,59,NA,NA,NA
NYPD,Precinct,49,Crime related to domestic violence - Felonious assault,110,136,100,85,60,98,NA,NA,NA
NYPD,Precinct,48,Crime related to domestic violence - Felonious assault,120,127,173,203,235,227,182,NA,NA
NYPD,Precinct,47,Crime related to domestic violence - Felonious assault,127,192,229,248,243,281,300,NA,NA
NYPD,Precinct,46,Crime related to domestic violence - Felonious assault,164,168,173,207,213,255,238,NA,NA
NYPD,Precinct,45,Crime related to domestic violence - Felonious assault,60,48,58,69,60,73,73,NA,NA
NYPD,Precinct,44,Crime related to domestic violence - Felonious assault,171,213,307,301,247,228,221,NA,NA
NYPD,Precinct,43,Crime related to domestic violence - Felonious assault,213,226,236,294,243,273,298,NA,NA
NYPD,Precinct,42,Crime related to domestic violence - Felonious assault,125,134,142,204,160,200,183,NA,NA
NYPD,Precinct,41,Crime related to domestic violence - Felonious assault,102,111,141,176,120,135,100,NA,NA
NYPD,Precinct,40,Crime related to domestic violence - Felonious assault,132,142,159,195,182,241,269,NA,NA
NYPD,Precinct,34,Crime related to domestic violence - Felonious assault,57,69,44,45,49,78,91,NA,NA
NYPD,Precinct,33,Crime related to domestic violence - Felonious assault,43,56,45,64,54,43,59,NA,NA
NYPD,Precinct,32,Crime related to domestic violence - Felonious assault,115,145,117,125,127,123,140,NA,NA
NYPD,Precinct,30,Crime related to domestic violence - Felonious assault,53,47,64,80,71,72,66,NA,NA
NYPD,Precinct,28,Crime related to domestic violence - Felonious assault,57,66,97,67,65,85,66,NA,NA
NYPD,Precinct,26,Crime related to domestic violence - Felonious assault,38,36,30,28,30,26,22,NA,NA
NYPD,Precinct,25,Crime related to domestic violence - Felonious assault,55,66,90,88,90,105,105,NA,NA
NYPD,Precinct,24,Crime related to domestic violence - Felonious assault,41,60,69,52,40,43,47,NA,NA
NYPD,Precinct,23,Crime related to domestic violence - Felonious assault,68,94,113,110,116,138,162,0,NA
NYPD,Precinct,22,Crime related to domestic violence - Felonious assault,0,0,1,0,0,1,NA,NA,NA
NYPD,Precinct,20,Crime related to domestic violence - Felonious assault,14,20,17,17,25,19,NA,30,NA
NYPD,Precinct,19,Crime related to domestic violence - Felonious assault,33,37,37,42,36,41,26,47,NA
NYPD,Precinct,18,Crime related to domestic violence - Felonious assault,17,19,35,25,33,30,41,21,NA
NYPD,Precinct,17,Crime related to domestic violence - Felonious assault,6,11,13,16,12,11,19,15,NA
NYPD,Precinct,14,Crime related to domestic violence - Felonious assault,13,17,28,20,27,14,23,29,NA
NYPD,Precinct,13,Crime related to domestic violence - Felonious assault,23,11,23,31,26,32,27,17,NA
NYPD,Precinct,10,Crime related to domestic violence - Felonious assault,19,17,11,43,41,29,39,33,NA
NYPD,Precinct,9,Crime related to domestic violence - Felonious assault,36,48,62,58,39,56,55,46,NA
NYPD,Precinct,7,Crime related to domestic violence - Felonious assault,40,53,51,51,68,51,49,59,NA
NYPD,Precinct,6,Crime related to domestic violence - Felonious assault,3,10,16,15,12,13,10,12,NA
NYPD,Precinct,5,Crime related to domestic violence - Felonious assault,21,29,27,33,27,27,20,19,NA
NYPD,Precinct,1,Crime related to domestic violence - Felonious assault,9,13,17,18,23,19,10,11,NA
NYPD,Precinct,123,Crime related to domestic violence - Rape,0,1,2,3,1,1,2,NA,NA
NYPD,Precinct,122,Crime related to domestic violence - Rape,6,6,4,2,0,3,3,NA,NA
NYPD,Precinct,121,Crime related to domestic violence - Rape,NA,NA,NA,8,7,6,8,8,NA
NYPD,Precinct,120,Crime related to domestic violence - Rape,25,25,7,9,15,7,NA,NA,NA
NYPD,Precinct,115,Crime related to domestic violence - Rape,23,18,19,10,18,15,16,NA,NA
NYPD,Precinct,114,Crime related to domestic violence - Rape,8,9,16,7,5,9,14,NA,NA
NYPD,Precinct,113,Crime related to domestic violence - Rape,14,11,8,8,6,6,12,NA,NA
NYPD,Precinct,112,Crime related to domestic violence - Rape,6,3,0,2,2,3,0,NA,NA
NYPD,Precinct,111,Crime related to domestic violence - Rape,3,3,2,0,2,1,0,NA,NA
NYPD,Precinct,110,Crime related to domestic violence - Rape,18,10,15,11,14,14,13,NA,NA
NYPD,Precinct,109,Crime related to domestic violence - Rape,4,6,5,9,8,8,6,NA,NA
NYPD,Precinct,108,Crime related to domestic violence - Rape,4,5,6,2,5,4,6,NA,NA
NYPD,Precinct,107,Crime related to domestic violence - Rape,2,2,4,5,3,5,5,NA,NA
NYPD,Precinct,106,Crime related to domestic violence - Rape,4,4,7,10,8,4,5,NA,NA
NYPD,Precinct,105,Crime related to domestic violence - Rape,7,8,9,10,12,11,7,NA,NA
NYPD,Precinct,104,Crime related to domestic violence - Rape,10,9,7,10,8,12,6,NA,NA
NYPD,Precinct,103,Crime related to domestic violence - Rape,12,14,11,10,9,18,13,NA,NA
NYPD,Precinct,102,Crime related to domestic violence - Rape,12,6,6,13,7,6,12,NA,NA
NYPD,Precinct,101,Crime related to domestic violence - Rape,7,9,6,5,8,9,9,NA,NA
NYPD,Precinct,100,Crime related to domestic violence - Rape,2,3,0,1,7,3,1,NA,NA
NYPD,Precinct,94,Crime related to domestic violence - Rape,0,2,4,2,2,1,2,NA,NA
NYPD,Precinct,90,Crime related to domestic violence - Rape,6,4,4,1,6,9,6,NA,NA
NYPD,Precinct,88,Crime related to domestic violence - Rape,2,5,3,2,2,5,0,NA,NA
NYPD,Precinct,84,Crime related to domestic violence - Rape,2,0,2,0,2,1,0,NA,NA
NYPD,Precinct,83,Crime related to domestic violence - Rape,10,14,18,11,15,17,12,NA,NA
NYPD,Precinct,81,Crime related to domestic violence - Rape,8,7,7,4,5,5,10,NA,NA
NYPD,Precinct,79,Crime related to domestic violence - Rape,12,8,5,5,8,6,8,NA,NA
NYPD,Precinct,78,Crime related to domestic violence - Rape,1,2,0,2,2,3,3,NA,NA
NYPD,Precinct,77,Crime related to domestic violence - Rape,8,1,10,8,8,4,6,NA,NA
NYPD,Precinct,76,Crime related to domestic violence - Rape,2,1,2,2,2,1,2,NA,NA
NYPD,Precinct,75,Crime related to domestic violence - Rape,21,33,24,25,24,18,24,NA,NA
NYPD,Precinct,73,Crime related to domestic violence - Rape,9,15,18,11,13,17,11,NA,NA
NYPD,Precinct,72,Crime related to domestic violence - Rape,7,9,9,3,7,12,10,NA,NA
NYPD,Precinct,71,Crime related to domestic violence - Rape,4,9,4,8,6,3,1,NA,NA
NYPD,Precinct,70,Crime related to domestic violence - Rape,7,11,4,8,9,12,6,NA,NA
NYPD,Precinct,69,Crime related to domestic violence - Rape,7,2,0,4,6,8,5,NA,NA
NYPD,Precinct,68,Crime related to domestic violence - Rape,2,3,7,6,4,1,5,NA,NA
NYPD,Precinct,67,Crime related to domestic violence - Rape,9,13,13,16,14,15,13,NA,NA
NYPD,Precinct,66,Crime related to domestic violence - Rape,5,3,3,9,5,3,5,NA,NA
NYPD,Precinct,63,Crime related to domestic violence - Rape,6,5,6,1,1,1,3,6,NA
NYPD,Precinct,62,Crime related to domestic violence - Rape,6,4,7,7,4,2,NA,NA,NA
NYPD,Precinct,61,Crime related to domestic violence - Rape,1,2,1,8,7,5,6,8,NA
NYPD,Precinct,60,Crime related to domestic violence - Rape,8,3,7,8,7,5,3,6,NA
NYPD,Precinct,52,Crime related to domestic violence - Rape,11,9,6,14,10,15,16,12,NA
NYPD,Precinct,50,Crime related to domestic violence - Rape,1,6,2,4,6,3,3,3,NA
NYPD,Precinct,49,Crime related to domestic violence - Rape,11,10,4,2,7,12,6,9,NA
NYPD,Precinct,48,Crime related to domestic violence - Rape,11,13,10,13,10,17,11,14,NA
NYPD,Precinct,47,Crime related to domestic violence - Rape,8,14,9,14,14,18,14,15,NA
NYPD,Precinct,46,Crime related to domestic violence - Rape,14,20,10,12,8,10,13,16,NA
NYPD,Precinct,45,Crime related to domestic violence - Rape,6,6,2,4,3,4,8,6,NA
NYPD,Precinct,44,Crime related to domestic violence - Rape,11,23,12,15,7,9,11,13,NA
NYPD,Precinct,43,Crime related to domestic violence - Rape,15,8,17,12,15,21,18,19,NA
NYPD,Precinct,42,Crime related to domestic violence - Rape,9,19,12,5,14,15,10,12,NA
NYPD,Precinct,41,Crime related to domestic violence - Rape,4,7,2,5,9,10,8,11,NA
NYPD,Precinct,40,Crime related to domestic violence - Rape,10,8,7,10,12,14,13,17,NA
NYPD,Precinct,34,Crime related to domestic violence - Rape,6,5,6,7,3,8,6,10,NA
NYPD,Precinct,33,Crime related to domestic violence - Rape,12,2,4,8,6,11,4,3,NA
NYPD,Precinct,32,Crime related to domestic violence - Rape,10,9,10,10,9,14,8,4,NA
NYPD,Precinct,30,Crime related to domestic violence - Rape,10,5,5,8,2,6,5,5,NA
NYPD,Precinct,28,Crime related to domestic violence - Rape,4,6,5,5,2,4,3,5,NA
NYPD,Precinct,26,Crime related to domestic violence - Rape,5,3,3,0,4,1,3,5,NA
NYPD,Precinct,25,Crime related to domestic violence - Rape,5,11,4,5,3,9,11,6,NA
NYPD,Precinct,24,Crime related to domestic violence - Rape,4,2,2,2,1,2,5,4,NA
NYPD,Precinct,23,Crime related to domestic violence - Rape,11,11,11,6,9,9,5,7,NA
NYPD,Precinct,22,Crime related to domestic violence - Rape,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,20,Crime related to domestic violence - Rape,2,1,2,2,1,2,3,4,NA
NYPD,Precinct,19,Crime related to domestic violence - Rape,0,6,3,1,2,0,3,2,NA
NYPD,Precinct,18,Crime related to domestic violence - Rape,2,1,2,3,3,0,5,1,NA
NYPD,Precinct,17,Crime related to domestic violence - Rape,1,2,0,3,1,1,4,2,NA
NYPD,Precinct,14,Crime related to domestic violence - Rape,3,2,1,0,2,0,1,3,NA
NYPD,Precinct,13,Crime related to domestic violence - Rape,0,1,2,1,0,2,1,2,NA
NYPD,Precinct,10,Crime related to domestic violence - Rape,2,3,2,2,4,2,4,4,NA
NYPD,Precinct,9,Crime related to domestic violence - Rape,5,4,5,7,5,2,2,9,NA
NYPD,Precinct,7,Crime related to domestic violence - Rape,6,7,2,3,1,2,4,2,NA
NYPD,Precinct,6,Crime related to domestic violence - Rape,3,0,1,1,1,1,1,2,NA
NYPD,Precinct,5,Crime related to domestic violence - Rape,3,3,0,2,1,0,0,0,NA
NYPD,Precinct,1,Crime related to domestic violence - Rape,0,1,0,0,1,3,1,0,NA
NYPD,Precinct,123,Crime related to domestic violence - Murder,2,0,0,0,0,1,0,0,NA
NYPD,Precinct,122,Crime related to domestic violence - Murder,3,0,1,0,0,3,0,0,NA
NYPD,Precinct,121,Crime related to domestic violence - Murder,NA,NA,NA,0,0,6,0,1,NA
NYPD,Precinct,120,Crime related to domestic violence - Murder,5,1,2,1,2,0,0,0,NA
NYPD,Precinct,115,Crime related to domestic violence - Murder,0,0,0,2,2,0,0,0,NA
NYPD,Precinct,114,Crime related to domestic violence - Murder,2,3,2,1,0,1,0,0,NA
NYPD,Precinct,113,Crime related to domestic violence - Murder,5,6,1,1,3,0,2,2,NA
NYPD,Precinct,112,Crime related to domestic violence - Murder,0,0,0,0,0,0,1,0,NA
NYPD,Precinct,111,Crime related to domestic violence - Murder,1,1,0,0,0,2,0,0,NA
NYPD,Precinct,110,Crime related to domestic violence - Murder,1,1,1,1,2,0,1,0,NA
NYPD,Precinct,109,Crime related to domestic violence - Murder,3,0,0,1,6,1,0,0,NA
NYPD,Precinct,108,Crime related to domestic violence - Murder,0,0,1,1,0,0,1,0,NA
NYPD,Precinct,107,Crime related to domestic violence - Murder,0,1,1,0,1,0,1,0,NA
NYPD,Precinct,106,Crime related to domestic violence - Murder,0,0,0,0,1,0,1,2,NA
NYPD,Precinct,105,Crime related to domestic violence - Murder,0,2,2,1,4,0,0,4,NA
NYPD,Precinct,104,Crime related to domestic violence - Murder,0,1,1,0,0,0,1,0,NA
NYPD,Precinct,103,Crime related to domestic violence - Murder,3,0,2,4,2,1,0,0,NA
NYPD,Precinct,102,Crime related to domestic violence - Murder,0,2,3,2,2,2,3,0,NA
NYPD,Precinct,101,Crime related to domestic violence - Murder,1,0,1,2,0,1,1,0,NA
NYPD,Precinct,100,Crime related to domestic violence - Murder,0,1,1,0,1,0,0,1,NA
NYPD,Precinct,94,Crime related to domestic violence - Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,90,Crime related to domestic violence - Murder,1,1,0,2,0,0,0,0,NA
NYPD,Precinct,88,Crime related to domestic violence - Murder,0,1,0,0,0,0,1,0,NA
NYPD,Precinct,84,Crime related to domestic violence - Murder,0,0,0,0,0,2,0,1,NA
NYPD,Precinct,83,Crime related to domestic violence - Murder,3,0,0,1,3,1,1,0,NA
NYPD,Precinct,81,Crime related to domestic violence - Murder,2,1,1,0,1,0,2,2,NA
NYPD,Precinct,79,Crime related to domestic violence - Murder,1,0,3,0,0,0,0,1,NA
NYPD,Precinct,78,Crime related to domestic violence - Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,77,Crime related to domestic violence - Murder,1,1,0,1,1,0,0,1,NA
NYPD,Precinct,76,Crime related to domestic violence - Murder,0,1,0,0,0,0,1,0,NA
NYPD,Precinct,75,Crime related to domestic violence - Murder,3,3,2,1,3,1,2,1,NA
NYPD,Precinct,73,Crime related to domestic violence - Murder,4,6,2,2,2,0,1,4,NA
NYPD,Precinct,72,Crime related to domestic violence - Murder,2,0,1,0,0,1,0,0,NA
NYPD,Precinct,71,Crime related to domestic violence - Murder,0,1,0,0,0,0,1,0,NA
NYPD,Precinct,70,Crime related to domestic violence - Murder,2,2,2,2,0,2,4,1,NA
NYPD,Precinct,69,Crime related to domestic violence - Murder,0,3,2,0,1,0,0,1,NA
NYPD,Precinct,68,Crime related to domestic violence - Murder,0,1,0,1,0,0,1,0,NA
NYPD,Precinct,67,Crime related to domestic violence - Murder,2,1,1,0,2,2,1,1,NA
NYPD,Precinct,66,Crime related to domestic violence - Murder,0,0,0,5,0,1,1,0,NA
NYPD,Precinct,63,Crime related to domestic violence - Murder,0,1,5,1,1,0,1,3,NA
NYPD,Precinct,62,Crime related to domestic violence - Murder,2,0,0,0,0,0,0,0,NA
NYPD,Precinct,61,Crime related to domestic violence - Murder,4,0,1,2,0,2,1,0,NA
NYPD,Precinct,60,Crime related to domestic violence - Murder,2,2,0,1,1,0,2,0,NA
NYPD,Precinct,52,Crime related to domestic violence - Murder,1,1,2,4,1,2,1,0,NA
NYPD,Precinct,50,Crime related to domestic violence - Murder,2,0,4,0,0,0,0,2,NA
NYPD,Precinct,49,Crime related to domestic violence - Murder,1,0,0,0,2,2,0,1,NA
NYPD,Precinct,48,Crime related to domestic violence - Murder,0,1,0,0,1,0,1,4,NA
NYPD,Precinct,47,Crime related to domestic violence - Murder,5,1,4,2,2,3,1,1,NA
NYPD,Precinct,46,Crime related to domestic violence - Murder,4,5,2,1,1,2,1,2,NA
NYPD,Precinct,45,Crime related to domestic violence - Murder,2,0,0,1,1,2,2,0,NA
NYPD,Precinct,44,Crime related to domestic violence - Murder,0,5,1,2,3,3,3,2,NA
NYPD,Precinct,43,Crime related to domestic violence - Murder,4,3,4,2,2,1,1,4,NA
NYPD,Precinct,42,Crime related to domestic violence - Murder,2,1,1,2,2,1,3,2,NA
NYPD,Precinct,41,Crime related to domestic violence - Murder,1,0,1,0,0,0,1,0,NA
NYPD,Precinct,40,Crime related to domestic violence - Murder,2,2,4,0,1,4,0,1,NA
NYPD,Precinct,34,Crime related to domestic violence - Murder,1,1,1,0,0,0,1,1,NA
NYPD,Precinct,33,Crime related to domestic violence - Murder,0,2,0,0,0,2,0,0,NA
NYPD,Precinct,32,Crime related to domestic violence - Murder,0,2,1,1,0,1,0,1,NA
NYPD,Precinct,30,Crime related to domestic violence - Murder,0,0,1,0,0,0,3,0,NA
NYPD,Precinct,28,Crime related to domestic violence - Murder,0,0,0,0,0,0,2,1,NA
NYPD,Precinct,26,Crime related to domestic violence - Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,25,Crime related to domestic violence - Murder,1,1,1,0,0,0,0,0,NA
NYPD,Precinct,24,Crime related to domestic violence - Murder,1,1,2,1,0,0,1,0,NA
NYPD,Precinct,23,Crime related to domestic violence - Murder,0,1,0,0,1,0,1,0,NA
NYPD,Precinct,22,Crime related to domestic violence - Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,20,Crime related to domestic violence - Murder,0,0,0,1,0,0,0,0,NA
NYPD,Precinct,19,Crime related to domestic violence - Murder,0,2,0,0,1,0,0,1,NA
NYPD,Precinct,18,Crime related to domestic violence - Murder,0,1,0,0,0,0,0,1,NA
NYPD,Precinct,17,Crime related to domestic violence - Murder,0,0,0,0,1,0,0,1,NA
NYPD,Precinct,14,Crime related to domestic violence - Murder,2,0,0,1,2,0,0,0,NA
NYPD,Precinct,13,Crime related to domestic violence - Murder,1,0,0,0,0,0,0,1,NA
NYPD,Precinct,10,Crime related to domestic violence - Murder,0,1,0,0,0,0,0,0,NA
NYPD,Precinct,9,Crime related to domestic violence - Murder,0,0,0,0,0,0,1,1,NA
NYPD,Precinct,7,Crime related to domestic violence - Murder,2,0,0,0,0,0,0,0,NA
NYPD,Precinct,6,Crime related to domestic violence - Murder,1,0,0,1,0,0,0,0,NA
NYPD,Precinct,5,Crime related to domestic violence - Murder,0,0,1,1,0,0,0,0,NA
NYPD,Precinct,1,Crime related to domestic violence - Murder,0,0,0,0,0,0,0,0,NA
NYPD,Precinct,123,Domestic Violence Related Radio Runs,1390,1511,1351,25,1216,1180,1099,1100,NA
NYPD,Precinct,122,Domestic Violence Related Radio Runs,3486,3501,3582,49,2406,2449,2427,2355,NA
NYPD,Precinct,121,Domestic Violence Related Radio Runs,NA,NA,NA,113,3260,3226,3347,3191,NA
NYPD,Precinct,120,Domestic Violence Related Radio Runs,7132,7608,8376,181,5489,5465,5452,5173,NA
NYPD,Precinct,115,Domestic Violence Related Radio Runs,3435,3270,3681,3283,3233,3380,3614,3425,NA
NYPD,Precinct,114,Domestic Violence Related Radio Runs,4122,4130,4496,4126,4052,4106,4367,4069,NA
NYPD,Precinct,113,Domestic Violence Related Radio Runs,4968,4819,5662,4644,4669,4584,4851,4729,NA
NYPD,Precinct,112,Domestic Violence Related Radio Runs,1062,998,1170,1078,1048,1110,1149,1136,NA
NYPD,Precinct,111,Domestic Violence Related Radio Runs,863,861,975,828,822,865,922,906,NA
NYPD,Precinct,110,Domestic Violence Related Radio Runs,3014,2941,3273,2888,2862,2942,3033,3003,NA
NYPD,Precinct,109,Domestic Violence Related Radio Runs,2600,2498,2999,2529,2699,2740,3083,2786,NA
